,phase,phase_dot,stride_length,ramp,jointangles_thigh_x,jointangles_shank_x,jointangles_foot_x,jointangles_thigh_dot_x,jointangles_shank_dot_x,jointangles_foot_dot_x,Subject,Test
0,0.014896138064870819,0.041708493033751855,0.0694231942056289,1.746352339569373,5.734872870848295,2.599985404321808,3.1480775912403374,16.178422389508782,19.903586464951562,28.0453911351833,AB01,NSL
1,0.01497940046001869,0.04018478630304208,0.07156227567562959,1.6718473863385015,4.181379095169065,3.187623259682345,3.0601620137507966,19.824248090647128,18.135333933344118,24.41204978172262,AB02,NSL
2,0.014912825748274487,0.04303526541040694,0.07921590595284549,2.2440883463379917,4.432433710376037,3.8984869511484694,4.200079829390532,47.706140993693445,25.714070131523904,28.71001928777337,AB03,NSL
3,0.013532896743480695,0.04141628963315886,0.06877494834085679,1.4956629325172304,4.475543957385213,2.8870736574319324,2.5155394431840756,38.15691295200811,16.33908640586743,23.68017913905801,AB04,NSL
4,0.01678267706403496,0.045507435828721216,0.07945583206868292,1.4326721087604335,5.03625108023571,4.09311302205246,2.5953209706312403,16.934294693271188,15.914738621587484,27.170833084726425,AB05,NSL
5,0.01788406547374866,0.05427771925876211,0.07773398710258228,1.4875903059407416,5.059537598526169,3.2084605611057575,3.6086341024601616,17.4714397467998,20.49296597819099,26.344469387640466,AB06,NSL
6,0.01436801610735878,0.044078208460709124,0.08623631185765655,1.488377586332788,5.419895111779628,3.733376325258402,2.7561867791676056,16.192390012589915,21.571534374506996,25.28925281528302,AB07,NSL
7,0.012857657089726266,0.043243129449162955,0.07963292836860261,1.5096323607439535,6.571480599230673,2.9774480213937125,3.306136746974647,17.98515285617082,17.583663569166557,26.319109864364464,AB08,NSL
8,0.01642021615073297,0.04172989103094097,0.07447565005330127,1.7124785402587077,4.5763386267486235,4.170168006370854,3.4333451779628286,16.51074515429987,19.932834100797102,25.60858599328309,AB09,NSL
9,0.014589882591162501,0.04521688143645197,0.08569511983434629,1.4096459911714505,3.7912708111813056,4.04518458400536,2.4016253221176678,17.66411919198453,16.89925200643167,25.27181379058571,AB10,NSL
10,0.02378606142348938,0.05233006803912239,0.12069290721387428,2.024677085503192,18.89161341758728,4.57969766637539,4.5659795089898525,19.87200508541757,24.980719424741963,27.671229553027448,AB01,ISA
11,0.02639419819383201,0.052033794385926375,0.1303357910372308,2.351191764903854,10.526510364036238,3.472693265381958,3.791863748438851,23.21438505688468,22.556246790867245,29.340326534482198,AB02,ISA
12,0.022106580910870297,0.057260130888871386,0.17820063958219762,2.1813097059611843,6.9174276405014385,4.547840678244113,4.042297328952308,50.90920818559227,28.9101695969771,32.58035627230267,AB03,ISA
13,0.04011807462515996,0.08142051319634508,0.11739460406022968,2.578177760771413,22.196662697820386,5.894185096484308,5.934851704632513,40.646240596912506,28.979854257021408,40.287240913014735,AB04,ISA
14,0.016935605042763865,0.05693662895835757,0.09125293841708795,1.7460558484438191,6.558855812172063,3.4846435744280715,4.685252647255725,21.332836622122404,24.67749928521959,31.367105829838955,AB05,ISA
15,0.0420035319832607,0.06116935962406463,0.14629757144402195,1.4933864246417852,9.94857145929927,4.279282975106686,4.376717224119132,21.674941934537618,29.825947366144497,35.98199431596882,AB06,ISA
16,0.018352630242288812,0.06845466777771472,0.08903520937889374,1.713368921572505,5.23350630594268,4.893277709526002,6.122104619099922,23.413335796804123,25.6869794428867,29.664632759578613,AB07,ISA
17,0.01811387998874733,0.054543460933509876,0.13872110050324687,1.68292902471294,10.341767477298758,2.9797700835143575,3.792049600543723,24.63043579343906,21.601294278626117,32.301402657170634,AB08,ISA
18,0.015703865126443024,0.04332773093666838,0.12012636311195708,1.7571587573909133,5.268904404819406,3.7321444944118882,2.746165416918956,19.675281305609055,21.44417206940904,26.371057797593473,AB09,ISA
19,0.02486930321921588,0.08783545036042148,0.13058499326942755,3.1295773048820346,6.58581706025676,4.846590296857445,5.492965003465317,22.476626359915485,26.846664617516524,35.980119034368634,AB10,ISA
